route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color                                                                                                                                                                                                                                              
7180161307GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180161200GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1700037606GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
3760617000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1700037606GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3760617000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6130771801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6120071801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1700056312GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1700050300GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5631217000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5030017000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1120013200GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1151111208GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1120811511GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1320011200GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1320071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0404071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1320011200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180113200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180104040GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1120013200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180111511GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1151171801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1151178400GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
2030922100GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
2210020309GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180180100GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
8010071801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
8010060000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000080100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
2230871801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
2210071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1510071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180122308GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180122100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180115100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1120815100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3141271801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180131412GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3010071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0404078400GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1120011208GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180130100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7840030100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7840011200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5140571801GL026,1071,TORRE ORO,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5100371801GL026,1071,TORRE ORO,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180151405GL026,1071,TORRE ORO,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180151003GL026,1071,TORRE ORO,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6000081100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000081110GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
8110060000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
8111060000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180160911GL012,1071,EUROMED,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                     
0321671801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0430703216GL012,1071,EUROMED,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                     
7180103216GL012,1071,EUROMED,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                     
6091171801GL012,1071,EUROMED,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                     
0321671801GL012,1071,EUROMED,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                     
0430760911GL012,1071,EUROMED,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                     
7180165000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180103216GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180160911GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6091171801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6500071801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5441360000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000051003AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
5100360000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000054413AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000051405GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000037704GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3770450500GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5050051405GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5140560000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3770460000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5050037704GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5140550500GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000005000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0500060000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
4301960000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
4301960000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
4301950500GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5050037704GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
3770460000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6000043019GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5050043019GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000043019GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180160000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7840004040AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7060060000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7180104040AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000071801AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000070600AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0404071801AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000004307AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0430760000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7840060000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000078400AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7420060000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7420004040AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7180104307AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000074200AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0404074200AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7180105000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0500071801AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0200378400AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7180151003AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
5100371801AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
5100303216AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0321651003AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
5441371801AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
7180154413AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
2210017000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
1151117000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1151110600GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
2101017000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
